DemAffl,DemAge,PromSpend,PromTime,TargetBuy
8,54,12000,8,0
5,54,1000,2,0
9,53,6000,3,0
16,37,0.01,5,1
7,65,0.01,8,0
14,39,50,10,1
9,42,6000,2,1
6,67,3000,8,0
11,43,0.01,5,1
8,50,0.02,9,0
13,58,0.01,8,0
5,79,6000,8,0
8,68,800,8,1
9,48,600,8,0
12,35,1500,5,0
9,38,0.01,4,1
11,42,6041.13,5,0
14,50,420.01,4,0
4,63,0.01,5,1
9,75,6000,1,0
8,50,50,8,0
2,58,0.01,8,0
6,54,50,11,0
7,54,0.01,5,0
18,38,0.01,6,1
8,55,1000,5,0
8,52,0.01,4,0
11,59,1500,2,0
6,63,1000,2,1
15,47,0.01,6,0
6,44,0.01,8,0
7,39,0.01,7,0
8,38,0.01,5,0
13,72,0.01,8,0
7,66,9000,8,0
6,78,7500,5,0
9,55,5672.31,2,0
7,49,10000,3,0
6,45,0.01,4,0
5,73,600,32,0
8,71,23425,4,1
14,52,7017.55,5,0
9,57,9052.66,7,0
10,63,6053.34,4,0
20,39,0.01,8,1
7,35,0.01,4,1
8,58,1930,9,0
10,40,0.01,4,1
9,61,12150,11,0
13,70,500,11,0
5,70,3500,5,0
6,60,10000,4,0
14,77,4884.25,11,0
10,74,4500,12,0
7,67,3000,5,0
7,51,17000,11,1
18,37,50.01,8,1
5,58,6000,22,0
6,27,5,7,0
9,70,6000,8,0
7,51,0.01,10,0
10,58,3000.01,8,0
10,73,0.01,6,0
7,38,4500,4,0
7,71,2000,3,1
22,50,3000,6,1
6,51,3500,27,0
10,33,0.01,8,0
8,64,20000,4,1
9,50,5000,4,0
5,41,6000,3,0
12,50,0.01,7,1
13,54,12078.35,30,0
13,45,3000,8,0
10,59,780,2,0
9,66,2000,9,0
5,52,0.01,11,0
9,48,0.01,5,1
6,60,0.01,5,0
11,56,6105.32,7,0
26,31,0.01,4,1
9,55,0.01,11,0
8,61,3250,6,0
9,68,4250,4,0
14,47,0.01,8,0
3,70,3000,11,0
10,40,1000,13,0
10,57,0.01,4,0
11,54,360,9,0
9,44,6053.35,5,0
6,57,0.02,8,0
13,45,0.01,4,1
9,40,0.01,6,1
9,22,1000,3,1
10,73,5000,27,0
5,50,0.01,4,0
8,76,1000,3,1
7,52,0.01,9,0
9,48,6000,2,0
9,47,0.01,4,0
10,61,3000,3,1
8,55,4000,8,0
5,76,6000,3,1
11,47,1200,11,0
12,60,9604.34,4,0
8,49,0.01,20,0
9,67,10000,5,1
4,53,1070,9,0
8,69,14400,8,0
7,27,0.01,4,1
10,63,3000,7,0
18,41,0.01,5,1
4,64,420,9,0
8,45,6000,2,0
10,46,0.01,4,0
6,75,0.01,9,0
11,62,6000,10,0
13,64,12000,8,0
11,25,3000,3,1
5,46,24878.35,9,0
6,56,6000,1,0
6,62,18800,4,0
5,77,9600,16,0
6,48,0.01,5,0
4,29,100,7,1
9,63,0.01,5,0
12,68,2000,31,0
7,36,3000.01,8,1
17,43,3026.67,6,1
6,57,0.01,4,0
6,45,0.01,10,0
12,37,0.01,5,1
10,44,500,9,0
9,51,7053.34,10,0
7,62,6000,2,0
18,54,970.92,9,1
7,57,1500,5,0
7,63,7500,5,0
3,51,0.01,5,0
11,74,10000.01,8,0
8,56,4000,5,1
4,33,0.01,6,0
8,50,4800,5,0
7,72,6000,5,0
8,28,68.22,2,0
9,65,6053.35,6,0
10,39,600,1,1
11,59,10213.66,5,0
10,50,0.01,5,0
9,55,0.01,4,0
12,48,6053.35,13,1
8,32,0.01,7,1
13,38,0.01,8,1
9,39,2700,4,1
11,44,6000,3,1
11,57,9000,6,1
5,34,6000,5,0
11,56,0.01,6,1
6,69,12105.32,12,0
11,53,600,7,0
10,33,0.01,9,1
6,67,1200,4,0
8,74,2000,5,0
4,73,6500,20,0
16,37,0.01,8,1
7,60,1324.2,10,1
9,74,11605.32,12,0
8,49,0.01,8,0
5,58,21000,9,0
8,43,1200,4,0
8,78,3000,2,1
4,76,6000,6,0
15,48,500,9,1
7,68,0.01,12,0
7,61,28780.41,0,0
10,64,5100,11,0
10,62,6053.35,5,0
11,35,600,8,1
8,35,1000,6,1
8,55,0.01,8,0
6,63,30131.68,6,0
7,33,0.01,9,0
7,50,4198,1,0
12,57,1000,4,0
11,45,720,4,0
6,49,920,4,1
9,70,3000,8,0
6,39,0.01,7,1
9,37,420,1,1
8,62,3750,2,0
9,59,7400,28,0
15,52,3000,5,1
9,50,1200,9,0
7,35,500,1,1
12,39,0.01,5,1
11,32,0.01,5,0
7,30,0.01,4,1
10,59,0.01,10,1
14,53,480,5,1
12,53,0.01,5,0
13,53,0.01,8,1
7,48,0.01,7,0
11,61,0.01,5,1
14,76,500,9,1
11,44,0.01,5,1
9,39,30649.41,1,1
6,35,0.01,5,0
11,63,19000,12,0
11,62,12000,2,0
9,50,0.01,8,0
12,34,0.01,4,1
22,30,1750,4,1
10,44,0.01,8,0
7,40,0.01,4,0
11,25,2400,1,1
5,57,3000,4,0
7,23,1000,5,1
10,35,0.01,8,1
12,33,0.01,8,1
9,46,5000,2,0
12,43,0.01,9,1
14,35,0.01,4,1
7,54,4500,11,0
13,66,2000,5,1
16,37,0.01,8,1
3,58,3000,2,0
10,49,0.01,8,0
8,36,0.01,8,1
10,54,2000,5,1
8,55,0.01,9,0
7,72,26053.35,8,0
7,40,0.01,4,0
3,55,0.01,5,0
10,63,0.01,8,0
14,70,20294.5,3,0
12,70,29374.72,24,1
3,77,15053.82,4,0
6,63,18000,13,0
6,68,19411.22,5,0
5,68,1500,9,0
7,49,0.01,5,0
7,73,2000,4,1
10,59,6000,2,1
11,67,6000,2,1
10,56,9000,1,0
7,56,20383.7,3,0
9,69,5000,18,0
8,75,8000,2,0
13,42,0.01,5,1
6,50,1000,6,0
7,51,0.01,5,0
12,25,6000,2,1
10,50,3000,8,0
9,64,300,7,1
15,61,7500,4,0
11,67,9000,2,0
10,37,0.01,7,0
9,55,2000,4,0
10,67,3000,8,0
12,43,0.01,5,0
5,45,19465.7,3,0
12,75,24106.7,23,1
5,52,100,1,0
7,61,0.01,6,0
4,42,0.01,5,0
15,53,6000,3,0
7,56,0.02,5,0
2,40,0.01,5,0
5,35,0.01,5,0
7,53,2460.01,8,0
6,35,0.01,6,0
3,38,5192.69,5,0
8,29,1500,4,1
13,43,50,11,0
6,70,1000,9,1
12,65,2215.4,4,1
13,57,0.01,9,0
9,41,12000,6,0
11,64,6000,4,0
7,43,0.01,5,1
6,32,3050,10,1
2,58,6550,12,0
6,70,6000,8,0
16,60,3000,2,0
11,49,0.01,10,0
5,62,6000,5,0
6,49,1608,10,0
7,59,5000,4,0
8,53,1000,5,0
9,32,0.01,5,1
8,37,0.01,5,1
20,62,1600,4,1
6,32,0.02,5,1
11,79,5000,16,0
12,37,6000.01,5,1
8,62,13500,5,0
8,68,2200,5,0
9,51,6001.74,4,0
13,39,1500,2,1
6,55,7000,29,1
3,57,2500,6,0
12,50,600,9,1
9,36,0.01,4,1
7,51,6000,2,0
7,67,12000,8,0
13,68,20364.36,3,0
16,47,2790,8,1
6,44,0.01,5,0
7,29,360,8,1
6,61,900,4,0
7,69,0.01,9,0
8,70,3000.01,15,0
5,43,0.01,5,1
6,77,6000,3,0
25,36,2000,5,1
8,38,12035.57,6,1
15,58,100,10,0
7,46,0.01,18,0
11,63,4000,1,0
4,75,0.01,8,0
7,54,0.01,7,1
15,44,0.01,4,1
12,65,12100,10,0
6,46,3000,1,0
8,67,6000,7,1
7,45,6000,9,0
5,36,50.01,8,0
9,27,10000,3,0
8,46,6000,2,0
7,37,0.01,10,0
6,78,6000,21,0
4,79,2007.95,1,0
7,55,2000,5,0
10,55,1020,9,0
8,52,3000,5,0
8,75,15000,4,0
6,44,2000,1,1
10,36,1100,4,1
6,64,3000,14,0
7,47,0.01,8,0
3,58,19171.95,13,0
9,48,10500,5,0
6,65,3213.27,17,0
6,44,0.01,5,0
5,44,1005,8,1
12,38,15500,5,0
8,46,0.01,8,0
10,28,0.01,5,1
6,73,9053.35,7,0
5,74,3000,2,0
6,48,6053.34,4,0
11,58,20406.2,3,1
13,71,0.01,5,1
10,76,11800,8,0
10,58,6000,2,0
8,69,1420,24,0
8,72,7000,4,1
12,33,500,9,1
6,29,10000,1,0
10,39,10000,3,1
7,45,0.01,5,0
9,68,12000,2,0
16,49,2000,2,1
7,74,0.01,8,0
14,45,7000,2,0
10,54,50050,10,1
2,63,5000,1,0
18,62,23000,9,1
9,32,10000,1,1
6,58,20610.65,3,0
5,58,3000,8,0
13,48,0.01,8,1
10,57,3053.35,12,1
17,57,12105.32,8,0
4,65,6000,2,1
8,75,6000,2,1
6,74,3000,12,0
6,76,0.01,8,0
6,58,3000,2,0
5,36,0.01,5,0
10,37,0.01,5,0
13,35,0.01,8,1
9,43,50.01,8,1
10,44,0.01,8,1
4,38,0.01,8,0
13,62,18426.67,8,0
9,55,24300,9,0
10,46,3120,9,0
7,66,1200,8,0
8,56,0.01,5,0
8,55,23.84,18,0
8,53,0.01,4,0
14,58,100,18,1
8,56,0.01,8,0
11,67,12620.93,11,1
8,51,0.01,5,0
7,65,3000,8,0
13,69,5000,5,0
8,57,17496.51,16,0
11,36,0.01,7,1
5,58,1000,5,0
7,65,12000,2,0
8,51,0.01,4,0
7,62,4884.25,11,0
6,70,32000,4,0
6,41,3052.66,10,1
11,48,6000,1,0
20,22,100,2,1
9,74,6000,12,0
9,32,6000,2,1
8,32,0.01,5,0
13,49,500,9,0
12,63,5500,13,0
12,76,364.38,9,0
8,59,3000,9,1
8,71,20767.52,3,0
10,63,6000,4,0
4,61,3000,1,0
11,48,900,5,1
16,47,1000,5,0
7,53,0.01,4,0
6,77,6000,32,0
7,69,25162.77,4,0
18,48,0.01,7,1
8,71,4884.25,31,1
16,58,5000,9,0
8,51,3000,5,0
11,54,1500,8,0
16,69,3000,8,0
11,49,0.01,5,0
6,47,0.01,8,0
12,49,600,5,1
9,55,10000,5,1
7,67,11035.58,9,0
9,61,1000,4,0
4,49,900,9,0
10,54,100.01,5,0
8,72,0.01,8,1
14,52,6053.34,6,1
6,65,3000,2,0
9,70,3000,5,1
10,40,0.01,5,1
5,74,6000,2,0
7,33,1500,13,1
8,58,0.01,4,0
11,53,0.01,8,1
8,46,3000,22,0
3,70,3000,8,0
14,40,100,1,1
8,56,3000,10,0
8,46,0.01,4,0
8,44,0.01,5,0
7,48,6105.32,7,1
15,71,1500,5,1
9,32,600,1,1
7,51,0.01,9,0
9,60,11858.52,2,0
6,52,8200,7,0
8,48,0.01,7,0
12,74,0.01,7,1
4,42,4884.25,8,1
5,23,480,5,0
7,33,2000,11,0
4,51,2200,14,0
5,20,1208.13,3,1
9,29,10000,3,1
16,43,0.01,6,1
11,63,300,9,1
12,61,1500,5,0
4,43,6000,8,0
10,53,9630,10,0
7,60,4000,1,1
9,45,2000,4,0
12,40,2000,4,0
11,68,15000,3,0
10,51,3422.48,6,0
14,57,800,9,1
10,51,0.01,5,0
7,31,531.36,7,0
11,24,6053.35,6,1
8,45,0.01,4,0
4,46,3000,9,0
6,55,0.01,5,1
10,55,4234.11,12,0
12,65,3000,8,0
7,66,6000,6,0
20,48,500,9,1
9,57,3000,1,0
4,77,6035.46,9,0
11,44,6053.35,7,0
12,27,0.01,5,0
6,64,1440,4,0
8,59,0.01,5,0
7,67,50.01,9,0
13,50,500,5,0
11,36,9053.35,6,1
10,35,0.01,4,0
12,41,0.01,8,1
8,48,0.01,5,0
5,36,75,2,1
9,67,12105.32,8,0
16,70,19053.34,14,1
3,72,3000,16,0
10,36,0.01,4,1
8,44,6107.64,6,0
6,77,3000,8,0
8,64,10300,8,0
5,28,0.01,5,1
10,51,10000,1,0
8,51,6000,2,0
11,42,6000,4,0
12,54,3000,12,0
8,40,420,1,0
9,38,0.01,8,1
5,51,0.01,8,0
6,39,2000,5,1
9,50,6000,1,0
7,41,6315,10,0
11,70,0.01,6,1
13,48,6000,9,0
5,28,0.01,5,0
4,62,6000,9,0
11,70,6053.34,11,1
18,38,1000,4,1
9,76,0.01,7,0
12,49,2350,8,0
9,57,6000,2,0
3,74,4000,2,1
10,36,600,5,1
13,55,11000,1,1
14,50,5000,3,0
16,31,0.01,5,1
14,43,0.01,4,1
9,76,22025,4,0
10,65,0.01,8,0
8,58,0.01,4,0
8,39,0.01,5,1
6,65,9768.5,24,1
8,44,3500,11,0
10,47,3000,9,0
10,63,6000,2,0
7,51,0.01,8,0
11,51,0.01,8,0
8,52,0.01,5,0
14,50,10166.01,11,0
8,47,5000,2,0
7,64,2000,5,0
16,60,6105.32,12,0
8,52,4199.92,2,0
8,54,0.01,7,0
7,43,4000,4,0
26,55,6000,13,1
7,22,6000,1,0
10,56,6000,2,1
6,57,0.01,5,0
7,49,5000,11,0
5,41,0.01,9,1
5,74,13791.44,14,0
14,36,0.01,11,1
18,33,500,9,1
14,36,0.02,5,0
4,39,3000,3,0
9,19,6000,1,0
4,40,1167.88,2,0
12,63,0.01,4,0
12,36,0.01,4,1
13,48,3000,4,0
8,53,1000,1,0
5,79,500,9,0
7,63,4035.88,9,0
9,52,1000,4,0
11,57,3000,8,1
7,37,0.01,9,1
7,58,1000,11,0
20,41,0.01,5,1
14,52,20000,4,1
6,53,12053.35,5,0
7,47,0.01,8,0
4,69,1500,5,0
11,52,6052.65,8,0
17,52,1000,1,0
14,62,2000,5,0
12,62,12105.32,8,0
5,49,5040,4,0
7,78,6000,5,0
8,60,13000,13,0
6,62,8300,8,0
9,44,0.01,5,1
14,74,0.01,8,0
5,62,0.01,5,0
5,54,4000,4,0
15,44,0.01,8,1
7,45,0.01,8,0
11,29,1000,9,1
2,54,0.01,8,0
6,51,15053.35,7,0
6,49,0.01,8,0
7,49,0.01,9,0
9,50,12000,1,0
9,67,1000,4,0
9,48,0.01,8,0
5,57,6000,2,0
8,62,2679.2,18,0
9,57,0.01,11,0
8,40,0.01,10,1
6,51,1000,5,0
11,45,0.01,5,0
9,59,1000,4,0
7,31,0.01,7,1
10,47,37.01,2,0
7,38,350,7,0
6,73,9107.17,11,0
13,77,6000,5,0
6,70,3000,5,0
3,62,0.01,11,0
10,62,9000,3,0
3,41,0.01,5,0
13,52,6000,1,0
5,67,3300.01,28,0
10,67,6000,31,0
12,40,20487.4,3,1
13,60,22000,5,1
13,64,0.01,7,1
6,51,18106.7,7,0
8,71,20500,5,1
8,45,2000,6,0
5,62,0.01,7,0
6,67,7000,6,0
2,55,0.01,8,0
9,68,23690.92,3,1
6,37,500,9,0
10,47,55000,1,0
10,75,2650,9,1
10,47,3000,5,0
1,45,3000,8,0
15,33,0.01,5,1
5,68,20665.56,3,0
9,49,0.01,4,0
9,44,3746.34,11,0
6,52,6053.35,5,1
10,36,1600,9,1
7,59,2500,5,0
8,51,6053.35,7,0
15,26,0.01,5,1
5,41,0.01,5,0
8,65,1000,5,1
11,68,6000,5,0
10,59,0.01,9,0
7,64,7828.53,26,0
6,69,14958.67,13,0
12,55,14800,28,0
9,76,0.02,8,1
7,63,10000,4,0
2,43,24053.35,7,0
6,49,0.01,5,0
9,75,5000,2,0
14,72,3026.67,7,0
10,70,8000,1,0
13,37,3000,4,1
11,66,31000,15,0
8,64,3000,9,0
11,42,0.01,4,1
4,69,0.01,4,0
13,74,2000,6,0
4,72,6955.32,29,0
10,78,0.01,9,1
5,35,3000,3,0
10,53,1800,1,0
9,74,1000,4,1
14,54,0.01,9,1
5,68,4000,21,0
10,76,2000,6,1
3,48,44.12,12,0
4,29,600.01,5,0
9,33,12000,13,1
3,55,0.01,5,0
11,47,3000,10,1
11,32,0.02,5,1
12,69,3000,8,0
6,52,1000,11,0
1,46,1000,5,0
5,63,10000,8,0
11,41,0.01,5,0
10,71,2161.72,4,0
14,48,3900,4,1
13,76,17554.29,14,1
8,46,6000,2,0
5,43,0.01,5,0
12,73,6053.35,7,0
10,48,200,10,0
12,54,3000,2,0
9,49,0.01,5,1
10,66,5000,3,1
10,44,0.01,4,1
21,33,6000,9,1
12,70,30075,29,0
10,50,1000,4,0
6,68,6000,12,0
10,43,6000,5,1
12,65,50.01,8,0
7,51,0.01,8,0
6,52,6053.34,4,0
6,46,3511.53,9,0
10,71,6000,5,0
5,59,6000,1,1
4,76,15527.42,13,0
7,71,12000,4,0
7,24,3000,5,1
4,50,5000,5,0
10,55,5000,5,0
10,66,5000,2,0
8,59,2000,4,0
24,51,11500,1,1
11,34,0.01,9,1
6,76,0.01,7,1
6,39,0.01,1,0
10,56,6187.2,5,0
10,59,0.01,5,0
5,59,4000,4,0
7,38,0.01,5,1
9,72,5000,3,1
11,64,12000,4,1
9,43,200,8,0
3,67,5000,1,0
8,39,0.01,5,1
8,67,0.01,5,0
8,62,0.01,5,0
7,62,57452.71,2,0
7,67,6000,2,0
7,53,0.01,5,1
6,50,3000,1,0
4,79,6000,2,0
7,66,6000,2,0
11,65,6000,5,0
9,53,3000,3,0
3,64,5000,6,0
13,73,6000,1,0
11,58,0.01,8,0
10,57,420.01,9,0
11,50,0.01,5,1
6,43,0.01,8,0
10,53,1000,4,0
15,72,1000,2,0
17,71,2000,4,1
8,56,360,10,0
7,66,12000,14,0
7,45,0.01,7,0
4,64,0.01,5,0
6,70,14100,8,0
6,50,0.02,8,0
9,66,6000,2,1
9,62,12160.99,12,1
16,41,0.01,7,0
7,47,0.01,5,0
4,50,0.01,8,0
12,32,100,1,1
18,52,50.01,7,1
13,35,1799.99,12,1
12,59,6000,11,0
3,57,16000,5,0
9,66,15000,14,0
8,51,6000,2,0
5,64,3000,5,0
10,68,6000,6,0
5,26,600,8,0
9,49,10000,4,1
11,54,2112.5,1,0
3,44,0.01,5,0
5,49,0.01,5,0
5,28,600,5,0
3,58,1000,18,0
8,40,0.01,8,0
13,62,0.01,8,0
11,48,0.01,5,0
7,58,10050,4,0
9,61,0.01,5,0
3,66,5000,5,0
7,33,3000,3,0
8,48,55.01,8,0
2,47,12000,2,0
13,44,0.01,8,0
5,42,14280.79,1,1
17,34,0.01,4,1
4,74,1500,5,0
4,41,0.01,5,0
9,48,500,10,0
9,55,2050,2,0
15,50,1440,26,0
6,67,3000,9,0
23,38,5400,1,1
9,75,3000,11,0
12,30,2520,1,1
6,71,25000,1,0
11,28,0.01,8,0
10,66,2000,9,0
17,50,12.29,3,0
8,65,0.01,4,1
6,48,0.01,4,0
6,55,6000,5,0
11,38,0.01,8,0
11,51,0.01,9,0
9,66,3000,1,1
10,47,6000,2,0
12,53,10000,3,0
8,42,850,17,0
12,55,9000,3,0
15,33,600,8,1
7,58,6000.01,4,0
7,59,500,1,0
10,52,1698.95,3,0
9,48,0.01,8,0
12,65,14000,5,1
12,62,24901.94,3,0
11,48,0.01,5,0
3,61,18000,3,0
16,31,0.01,5,1
7,78,16146.24,27,0
6,64,0.01,8,0
7,47,0.01,5,0
5,64,0.01,5,0
12,51,6000,4,0
12,53,0.01,5,0
8,57,10000,3,0
5,33,0.01,5,0
6,56,800,9,0
11,59,1000,9,0
6,73,20583.75,3,0
3,71,6000,17,0
5,57,0.01,11,0
6,61,3000,7,0
9,71,12000,2,0
7,45,0.01,8,0
5,51,0.01,10,0
10,66,4000,2,0
5,68,6000,31,0
10,63,100.01,8,0
9,30,4800,1,1
6,52,0.01,11,0
10,29,0.01,5,0
5,72,1000,11,0
6,56,1500,9,0
12,45,0.01,5,0
9,38,0.01,5,1
10,57,2000,5,0
7,41,0.01,9,0
13,37,6000,1,0
10,71,11000,9,0
7,62,20498.14,3,0
12,33,780,4,1
16,57,5000,5,1
6,48,0.01,8,0
8,48,0.01,9,0
7,37,2000,1,0
8,43,0.01,7,0
7,62,508.87,12,0
13,59,6000,5,0
12,60,1000,7,0
13,79,0.01,9,1
7,68,0.01,8,0
9,51,6000,4,0
12,35,3000,1,0
9,48,12000,3,1
5,49,0.01,4,0
13,58,0.01,5,0
10,47,50.01,8,0
11,76,615.46,5,0
6,77,6000,2,0
7,39,0.01,5,0
9,49,0.01,9,0
2,60,0.01,4,0
2,72,9600,28,0
10,64,100,1,1
13,34,384,16,1
3,43,0.01,5,0
10,31,0.01,8,1
10,62,2000,5,0
8,39,40,4,1
8,41,420,1,1
5,64,5000,6,0
8,44,0.01,5,1
15,61,12500,8,1
14,61,14000,16,1
11,36,420,1,1
8,39,720,1,1
12,69,4000,5,0
5,64,420,5,0
7,40,0.01,5,0
4,54,0.01,5,0
10,60,6000,1,1
4,75,0.01,8,0
7,79,11000,21,0
13,61,0.01,16,0
6,78,16000,4,0
6,57,1000,5,0
8,60,0.01,8,0
9,60,6000,1,0
5,45,0.01,5,0
7,60,18000,2,0
6,66,20000,4,0
5,56,0.01,8,0
14,51,0.01,7,0
7,59,0.01,5,0
6,31,6000,5,1
9,65,1000,9,0
7,67,6000,2,0
2,37,3000,4,1
6,40,0.01,4,0
6,43,600,5,0
7,45,0.01,5,0
9,45,0.01,8,0
11,49,0.01,9,1
8,69,2000,9,0
4,68,11000,2,0
12,70,3000,12,0
11,48,0.01,4,0
8,56,530,10,0
10,50,420,9,0
10,65,5000,5,0
7,38,6000,1,0
7,71,9000,2,0
6,57,5281.24,1,0
8,53,3000,3,0
7,53,0.01,5,0
5,51,20569.19,3,0
9,73,20740.07,3,0
14,54,6107.64,6,1
5,72,4000,5,0
8,48,50.01,10,0
12,60,12699.5,19,0
6,63,0.01,5,1
5,31,6000,1,0
9,78,600,8,0
9,76,2000,12,0
14,42,0.01,9,0
5,52,0.01,5,0
8,22,1000,1,1
11,43,12000,7,1
6,73,12000,4,0
9,75,9469.06,7,1
12,74,720,9,1
8,58,0.01,8,0
14,48,0.01,5,0
9,50,13200,9,0
8,57,0.01,11,0
2,79,3000,2,0
5,59,4000,4,0
8,34,3000,5,1
7,52,0.01,5,0
11,74,3800,11,0
9,71,28334.31,7,0
13,38,0.01,4,1
6,40,0.01,5,0
15,50,0.01,9,0
8,35,0.02,4,0
19,54,600,1,0
10,43,720,11,0
5,51,0.01,5,0
11,50,0.01,1,0
16,65,7720,5,1
6,63,5100,8,0
13,57,960,6,0
5,70,6000,6,0
16,65,2500,6,1
6,65,6000,2,0
10,71,4290.46,5,0
5,41,0.01,8,1
10,49,0.01,4,0
7,64,6000.01,20,0
5,55,0.01,10,0
10,41,1000,5,0
18,74,0.01,8,1
10,43,0.01,8,0
10,55,0.01,10,0
12,30,2400,5,0
13,51,0.01,8,1
11,47,0.01,9,1
14,64,6000,1,0
2,60,1500,5,0
9,58,500,2,0
9,48,215,3,1
8,42,300,10,1
7,72,15000,17,0
6,34,300,2,0
7,49,0.01,4,0
5,39,300,2,1
17,52,0.01,4,1
11,53,1080,8,0
9,60,0.01,5,0
6,36,0.01,8,1
8,46,0.01,7,0
15,56,6000,6,0
8,48,0.01,2,0
7,39,0.01,5,0
8,52,0.01,8,0
14,63,20050,4,0
9,76,6053.35,6,0
8,54,4000,11,0
11,49,4000,2,1
4,53,3000,29,0
13,68,6000,4,1
7,41,3500,1,1
4,61,500,12,0
6,74,10500,8,0
9,63,22652.89,14,0
24,27,6050,1,1
16,75,1090.95,12,0
10,36,0.01,8,1
7,44,1628.21,7,1
7,60,3000,28,1
6,76,6400,30,0
10,44,420,1,0
6,50,0.01,10,0
12,60,3000,5,0
9,75,2000.01,20,0
10,39,8500,1,1
14,29,0.01,7,1
10,47,0.01,5,0
8,45,6000.01,9,0
9,52,4175,4,0
10,39,0.01,5,1
21,39,11250,8,1
11,64,0.01,9,1
10,33,26,10,1
4,71,5000,3,0
